,state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,StateName,Region,nCLOTHIANIDIN,nIMIDACLOPRID,nTHIAMETHOXAM,nACETAMIPRID,nTHIACLOPRID,nAllNeonic,FIPS
0,AL,11000.0,56,616000.0,209000.0,1.49,918000.0,2007,Alabama,South,7696.2,3258.1,4149.6,0.0,0.0,15103.9,
1,AL,11000.0,72,792000.0,230000.0,1.21,958000.0,2006,Alabama,South,680.0,4230.2,5371.6,0.0,0.0,10281.8,
2,AL,12000.0,86,1032000.0,103000.0,1.18,1218000.0,2002,Alabama,South,0.0,1178.8,840.4,0.0,0.0,2019.2,
3,AL,12000.0,87,1044000.0,282000.0,1.41,1472000.0,2004,Alabama,South,2676.4,1323.9,3863.9,0.0,0.0,7864.2,
4,AL,13000.0,66,858000.0,266000.0,1.02,875000.0,2005,Alabama,South,1503.6,994.5,5493.9,0.0,0.0,7992.0,
5,AL,13000.0,82,1066000.0,43000.0,1.24,1322000.0,2003,Alabama,South,0.0,668.3,591.7,0.0,0.0,1260.0,
6,AL,14000.0,73,1022000.0,235000.0,0.72,736000.0,2001,Alabama,South,0.0,1490.8,0.0,0.0,0.0,1490.8,
7,AL,16000.0,71,1136000.0,159000.0,0.72,818000.0,1998,Alabama,South,0.0,1836.3,0.0,0.0,0.0,1836.3,
8,AL,16000.0,78,1248000.0,187000.0,0.59,736000.0,2000,Alabama,South,0.0,1499.2,0.0,0.0,0.0,1499.2,
9,AL,17000.0,68,1156000.0,185000.0,0.56,647000.0,1999,Alabama,South,0.0,1251.2,0.0,0.0,0.0,1251.2,
10,AL,7000.0,45,315000.0,22000.0,2.77,873000.0,2017,Alabama,South,,,,,,,
11,AL,7000.0,47,329000.0,13000.0,3.83,1260000.0,2015,Alabama,South,56.2,10919.3,1101.6,0.0,0.0,12077.1,
12,AL,7000.0,52,364000.0,33000.0,3.45,1256000.0,2016,Alabama,South,,,,,,,
13,AL,7000.0,52,364000.0,55000.0,2.85,1037000.0,2013,Alabama,South,5992.9,8284.4,5202.0,0.0,0.0,19479.3,
14,AL,7000.0,53,371000.0,26000.0,3.53,1310000.0,2014,Alabama,South,7971.6,12194.1,4745.4,0.0,0.0,24911.1,
15,AL,8000.0,54,432000.0,65000.0,2.47,1067000.0,2012,Alabama,South,4797.8,6249.1,7002.6,0.0,0.0,18049.5,
16,AL,9000.0,50,450000.0,63000.0,2.51,1130000.0,2011,Alabama,South,10106.1,5229.8,7148.1,0.0,0.0,22484.0,
17,AL,9000.0,50,450000.0,68000.0,1.86,837000.0,2009,Alabama,South,5087.2,3991.9,4076.2,0.0,0.0,13155.3,
18,AL,9000.0,54,486000.0,73000.0,2.4,1166000.0,2010,Alabama,South,1914.0,1757.0,4658.3,0.0,0.0,8329.3,
19,AL,9000.0,66,594000.0,214000.0,1.9,1129000.0,2008,Alabama,South,1598.3,3296.6,4214.5,0.0,0.0,9109.4,
20,AR,21000.0,65,1365000.0,137000.0,2.04,2785000.0,2014,Arkansas,South,15202.6,17066.9,23805.3,692.1,0.0,56766.9,
21,AR,22000.0,60,1320000.0,66000.0,2.02,2666000.0,2013,Arkansas,South,17338.3,17309.0,23873.8,0.0,0.0,58521.1,
